"name","type","salience","mentions","text_id"
NA,NA,NA,NA,119
"Ronald Reagan","PERSON",0.0498,1,120
NA,NA,NA,NA,121
"Lester","PERSON",0.1491,1,122
NA,NA,NA,NA,123
NA,NA,NA,NA,124
NA,NA,NA,NA,125
NA,NA,NA,NA,126
NA,NA,NA,NA,127
NA,NA,NA,NA,128
"HillaryClinton.com","OTHER",0.0922,1,129
NA,NA,NA,NA,130
NA,NA,NA,NA,131
NA,NA,NA,NA,132
NA,NA,NA,NA,133
NA,NA,NA,NA,134
NA,NA,NA,NA,135
NA,NA,NA,NA,136
NA,NA,NA,NA,137
"Trump","PERSON",1,1,138
"Douglas MacArthur","PERSON",0.0728,1,139
"ISIS","ORGANIZATION",0.0596,2,139
NA,NA,NA,NA,140
"ISIS","ORGANIZATION",0.3169,1,141
NA,NA,NA,NA,142
NA,NA,NA,NA,143
NA,NA,NA,NA,144
"ISIS","ORGANIZATION",0.0517,1,145
NA,NA,NA,NA,146
NA,NA,NA,NA,147
"Clinton","PERSON",0.4967,1,148
"Trump","PERSON",0.2676,2,148
"Americans","PERSON",0.0567,1,148
NA,NA,NA,NA,149
NA,NA,NA,NA,150
"Secretary Clinton","PERSON",0.021,1,151
NA,NA,NA,NA,152
NA,NA,NA,NA,153
"Republicans","PERSON",0.1314,1,154
"Democrats","PERSON",0.1314,1,154
"Lester","PERSON",0.0319,1,154
"Secretary Clinton","PERSON",0.1655,1,155
"Clinton","PERSON",0.2822,1,156
"Americans","PERSON",0.1041,1,156
NA,NA,NA,NA,157
NA,NA,NA,NA,158
NA,NA,NA,NA,159
NA,NA,NA,NA,160
NA,NA,NA,NA,161
"Clinton","PERSON",1,1,162
NA,NA,NA,NA,163
"Lester","PERSON",0.1451,1,164
NA,NA,NA,NA,165
"Trump","PERSON",0.0436,1,166
NA,NA,NA,NA,167
"Trump","PERSON",0.7114,1,168
"Clinton","PERSON",0.2886,1,168
NA,NA,NA,NA,169
NA,NA,NA,NA,170
NA,NA,NA,NA,171
"Lester","PERSON",1,1,172
NA,NA,NA,NA,173
NA,NA,NA,NA,174
"America","LOCATION",0.0896,2,175
"Trump","PERSON",1,1,176
"Secretary Clinton","PERSON",0.0326,1,177
"Great Depression","EVENT",0.1219,1,178
"Fed","ORGANIZATION",0.3293,5,179
"Obama","PERSON",0.3277,1,179
"Clinton","PERSON",0.023,1,179
"Janet Yellen","PERSON",0.0121,1,179
"Trump","PERSON",0.3755,1,180
"Americans","PERSON",0.1171,2,180
NA,NA,NA,NA,181
"Donald Trump","PERSON",0.1754,1,182
"Lester","PERSON",0.0329,1,183
NA,NA,NA,NA,184
"IRS","ORGANIZATION",0.483,1,185
NA,NA,NA,NA,186
NA,NA,NA,NA,187
NA,NA,NA,NA,188
"IRS","ORGANIZATION",0.0418,1,189
NA,NA,NA,NA,190
NA,NA,NA,NA,191
NA,NA,NA,NA,192
NA,NA,NA,NA,193
"Clinton","PERSON",0.3802,1,194
"IRS","ORGANIZATION",0.0262,1,195
NA,NA,NA,NA,196
"Wall Street","OTHER",0.0354,1,197
"American","LOCATION",0.0189,1,197
NA,NA,NA,NA,198
NA,NA,NA,NA,199
"American","LOCATION",0.0231,1,200
"White House","LOCATION",0.1275,1,201
NA,NA,NA,NA,202
NA,NA,NA,NA,203
NA,NA,NA,NA,204
"Trump","PERSON",1,1,205
"Fifth Amendment","LOCATION",0.0739,3,206
NA,NA,NA,NA,207
NA,NA,NA,NA,208
"$650","OTHER",0.0132,1,209
NA,NA,NA,NA,210
NA,NA,NA,NA,211
NA,NA,NA,NA,212
"LaGuardia","LOCATION",0.3001,1,213
"Kennedy","PERSON",0.1274,1,213
"LAX","LOCATION",0.1274,1,213
"Dubai","LOCATION",0.0899,1,213
"Qatar","LOCATION",0.0899,1,213
"Newark","LOCATION",0.0866,1,213
"China","LOCATION",0.0298,1,213
"Middle East","LOCATION",0.0395,2,214
"Secretary Clinton","PERSON",0.0333,1,215
NA,NA,NA,NA,216
NA,NA,NA,NA,217
NA,NA,NA,NA,218
"United States","ORGANIZATION",0.0432,1,219
"Donald","PERSON",0.0533,1,220
NA,NA,NA,NA,221
NA,NA,NA,NA,222
NA,NA,NA,NA,223
NA,NA,NA,NA,224
NA,NA,NA,NA,225
NA,NA,NA,NA,226
"King of Debt","OTHER",0.0287,1,227
"United States","LOCATION",0.0155,1,227
NA,NA,NA,NA,228
NA,NA,NA,NA,229
"Trump","PERSON",1,1,230
NA,NA,NA,NA,231
"United States","LOCATION",0.0311,1,232
"Europe","LOCATION",0.0311,1,232
"Clinton","PERSON",0.1487,1,233
NA,NA,NA,NA,234
"Pennsylvania Avenue","LOCATION",0.333,2,235
"White House","LOCATION",0.0178,1,235
"Old Post Office","LOCATION",0.3325,1,236
NA,NA,NA,NA,237
"Trump International","ORGANIZATION",0.0223,1,238
"America","LOCATION",0.0163,1,239
"Americans","PERSON",0.1286,1,240
"African-Americans","PERSON",0.0291,1,240
"Charlotte","LOCATION",0.021,1,240
"Tulsa","LOCATION",0.021,1,240
"Clinton","PERSON",0.6405,1,241
"Tulsa","LOCATION",0.0124,1,242
"Charlotte","LOCATION",0.0124,1,242
NA,NA,NA,NA,243
NA,NA,NA,NA,244
NA,NA,NA,NA,245
"African- American","PERSON",0.033,1,246
"Trump","PERSON",0.9235,1,247
"Clinton","PERSON",0.2824,1,248
"Charlotte","LOCATION",0.7183,1,249
"Fraternal Order of Police","ORGANIZATION",0.1477,1,250
"United States","LOCATION",0.0354,1,250
"Hispanics","PERSON",0.0731,1,251
"African- Americans","PERSON",0.0646,1,251
"Chicago","LOCATION",0.6099,3,252
"Barack Obama","PERSON",0.0052,1,252
"Giuliani","PERSON",0.2657,1,253
"Chicago","LOCATION",0.0587,1,253
"New York","LOCATION",0.0344,1,253
NA,NA,NA,NA,254
"African-American","PERSON",0.0837,1,255
"New York","LOCATION",0.0252,1,256
NA,NA,NA,NA,257
NA,NA,NA,NA,258
NA,NA,NA,NA,259
"Barack Obama","PERSON",0.0421,1,260
"Chicago","LOCATION",0.0223,2,260
"Chicago","LOCATION",0.0502,2,261
"Chicago","LOCATION",0.4164,1,262
"Ferguson","PERSON",0.2055,1,262
"Secretary Clinton","PERSON",0.0477,1,262
NA,NA,NA,NA,263
"Dallas","LOCATION",0.6225,1,264
"Clinton","PERSON",1,1,265
"Lester","PERSON",0.1684,1,266
"African-American","PERSON",0.009,1,266
"Clinton","PERSON",1,1,267
"Donald","PERSON",0.7283,1,268
NA,NA,NA,NA,269
NA,NA,NA,NA,270
NA,NA,NA,NA,271
NA,NA,NA,NA,272
"African-American","PERSON",0.0496,2,273
"Latino","PERSON",0.0373,1,273
"Americans","PERSON",0.0326,1,274
"Donald","PERSON",0.0485,1,275
NA,NA,NA,NA,276
"Clinton","PERSON",0.6552,1,277
"Lester","PERSON",0.0901,1,278
NA,NA,NA,NA,279
NA,NA,NA,NA,280
NA,NA,NA,NA,281
"Trump","PERSON",1,1,282
NA,NA,NA,NA,283
NA,NA,NA,NA,284
"NRA","ORGANIZATION",0.0296,1,285
"Second Amendment","WORK_OF_ART",0.0059,1,285
NA,NA,NA,NA,286
NA,NA,NA,NA,287
NA,NA,NA,NA,288
"New York City","LOCATION",0.0583,1,289
"Mayor Bloomberg","PERSON",0.1244,1,290
"New York City","LOCATION",0.0726,1,290
NA,NA,NA,NA,291
NA,NA,NA,NA,292
NA,NA,NA,NA,293
NA,NA,NA,NA,294
"New York","LOCATION",0.3099,2,295
NA,NA,NA,NA,296
NA,NA,NA,NA,297
"Trump","PERSON",0.2038,1,298
NA,NA,NA,NA,299
